CSCSITEID__C,ACCOUNTNAMEENGLISH__C,BRANCH_CUSTOMER_PARTY_KEY,BRANCH_PRIMARY_NAME,HQ_PRIMARY_NAME,GU_PRIMARY_NAME,BRANCH_ISO_COUNTRY_CD,BRANCH_PARTY_SSOT_PARTY_ID_INT,BRANCH_HQ_BRANCH_CD,EXACT_COUNTRY
234873295,SAMPATH IT,157939533,SAMPATH IT,SAMPATH INFORMATION TECHNOLOGY SOLUTIONS PVT LTD,SAMPATH INFORMATION TECHNOLOGY SOLUTIONS PVT LTD,LKA,234873295,BR,SRI LANKA
121068998,,51930182,BRANDIX GROUP,BRANDIX GROUP,BRANDIX GROUP,LKA,121068998,BR,SRI LANKA
245295972,,162965439,BELLVANTAGE,BELLVANTAGE PVT LTD,BELLVANTAGE PVT LTD,LKA,245295972,BR,SRI LANKA
8436411,SANKEN OVERSEAS PVT LTD,13121615,SANKEN LANKA (PRIVATE) LIMITED,SANKEN LANKA (PRIVATE) LIMITED,SANKEN LANKA (PRIVATE) LIMITED,LKA,8436411,HQ,SRI LANKA
191583662,Softlogic Finance PLC,118374670,SOFTLOGIC FINANCE PLC,SOFTLOGIC FINANCE PLC,SOFTLOGIC FINANCE PLC,LKA,191583662,HQ,SRI LANKA
271836213,,184090357,INFOR PVT LTD,INFOR FARNBOROUGH LTD,INFOR FARNBOROUGH LTD,LKA,271836213,HQ,SRI LANKA
355535600,,239215663,TIQRI PVT LTD,TIQRI PVT LTD,TIQRI PVT LTD,LKA,355535600,HQ,SRI LANKA
41497490,Swarnavahini TV,1931804,SWARNAVAHINI TV,SWARNAVAHINI TV,SWARNAVAHINI TV,LKA,41497490,HQ,SRI LANKA
345682027,ADVANCE VISION TECHNOLOGY,230766109,FLEXLOGIC BUSINESS SOLUTION,FLEXLOGIC BUSINESS SOLUTION,FLEXLOGIC BUSINESS SOLUTION,LKA,345682027,HQ,SRI LANKA
321030194,ALIYA RESORT AND SPA PVT LTD,214613149,ALIYA RESORT AND SPA PVT LTD,ALIYA RESORT AND SPA PVT LTD,ALIYA RESORT AND SPA PVT LTD,LKA,321030194,HQ,SRI LANKA
349401053,,234183258,ILLUKKUMBURA INDUSTRIAL AUTOMATION PVT LTD,ILLUKKUMBURA INDUSTRIAL AUTOMATION PVT LTD,ILLUKKUMBURA INDUSTRIAL AUTOMATION PVT LTD,LKA,349401053,HQ,SRI LANKA
245620701,,163315766,KTU CABLING SOLUTION PVT LTD,KTU CABLING SOLUTIONS PVT LTD,KTU CABLING SOLUTIONS PVT LTD,LKA,245620701,BR,SRI LANKA
41498084,John Keells Super Markets,6579848,JOHN KEELLS SUPER MARKETS,JOHN KEELLS SUPER MARKETS,JOHN KEELLS SUPER MARKETS,LKA,41498084,HQ,SRI LANKA
344643581,,229884915,SNDESIGNSTATION,SNDESIGNSTATION,SNDESIGNSTATION,LKA,344643581,HQ,SRI LANKA
110418923,,47459754,INOVATEC INFORMATION TECHNOLOGIES PVT LTD,INOVATEC INFORMATION TECHNOLOGIES PVT LTD,INOVATEC INFORMATION TECHNOLOGIES PVT LTD,LKA,110418923,HQ,SRI LANKA
41496610,Milco Pvt Ltd,8367168,MILCO PVT LTD,MILCO INC,MILCO INC,LKA,41496610,BR,SRI LANKA
115214143,,49972959,INOVATEC NETWORK SYSTEMS PVT LTD,INOVATEC NETWORK SYSTEMS PVT LTD,INOVATEC NETWORK SYSTEMS PVT LTD,LKA,115214143,BR,SRI LANKA
204293944,,130612431,TRIDENT CORPORATION PVT LTD,TRIDENT CORPORATION PVT LTD,TRIDENT CORPORATION PVT LTD,LKA,204293944,BR,SRI LANKA
307980385,,202910501,EZY DISTRIBUTION PVT LTD,EZY DISTRIBUTION PVT LTD,EZY DISTRIBUTION PVT LTD,LKA,307980385,HQ,SRI LANKA
378361943,,255570765,236 TECH,DONOT_USE_AS_GU,DONOT_USE_AS_GU,LKA,378361943,HQ,SRI LANKA
38101836,VIRTUSA PVT LTD,2813857,VIRTUSA PVT LTD,VIRTUSA CORPORATION,VIRTUSA CORPORATION,LKA,38101836,BR,SRI LANKA
150291467,D I & E,81655520,D I & E,D I & E,D I & E,LKA,150291467,HQ,SRI LANKA
41498504,Courtaulds Clothing Lanka (Pvt) Ltd,8925879,COURTAULDS CLOTHING LANKA PVT LTD,COURTAULDS CLOTHING BRANDS LTD,HUIT HOLDINGS UK LTD,LKA,41498504,BR,SRI LANKA
41496488,Shaaw Walles & Hedges,5131303,SHAAW WALLES & HEDGES,SHAAW WALLES & HEDGES,SHAAW WALLES & HEDGES,LKA,41496488,HQ,SRI LANKA
303685107,,200854966,TRILLENNIUM PVT LTD,TRILLENNIUM PVT LTD,TRILLENNIUM PVT LTD,LKA,303685107,BR,SRI LANKA
212448063,,137787048,HI TEC ENGINEERING WORKS,HI TEC ENGINEERING WORKS,HI TEC ENGINEERING WORKS,LKA,212448063,HQ,SRI LANKA
6171501,LANKA BELL PVT LTD,10354658,LANKA BELL LTD,LANKA BELL,TRANSMARCO PTE LTD,LKA,6171501,HQ,SRI LANKA
145885753,Synapsys Ltd,79149943,SYNAPSYS LTD,SYNAPSYS LTD,SYNAPSYS LTD,LKA,145885753,BR,SRI LANKA
206443574,IMPERIAL NAVIGATION MARITIME (PVT) LTD,132366363,IMPERIAL NAVIGATION MARITIME PVT LTD,IMPERIAL NAVIGATION MARITIME PVT LTD,IMPERIAL NAVIGATION MARITIME PVT LTD,LKA,206443574,HQ,SRI LANKA
40871117,,4815435,NATIONAL WATER SUPPLY & DRAINAGE BOARD,NATIONAL WATER SUPPLY & DRAINAGE BOARD,NATIONAL WATER SUPPLY & DRAINAGE BOARD,LKA,40871117,HQ,SRI LANKA
310676429,,205465671,TYAX PVT LTD,TYAX PRIVATE LTD,TYAX PRIVATE LTD,LKA,310676429,BR,SRI LANKA
41494953,Ceylon Breweries,5289719,CEYLON BREWERIES,CEYLON BREWERY LIMITED,CEYLON BREWERY LIMITED,LKA,41494953,BR,SRI LANKA
41496660,Agio Tobacco Processing Company Lited,14580054,AGIO TOBACCO PROCESSING COMPANY LITED,IMPERIAL   TOBACCO   AGIO   GMBH,VAN NELLE TOBACCO INTERNATIONAL HOLDINGS BV,LKA,41496660,BR,SRI LANKA
350097265,,234806160,KAYMU LANKA PVT LTD,KAYMU LANKA PVT LTD,KAYMU LANKA PVT LTD,LKA,350097265,HQ,SRI LANKA
146308571,MTD WALKERS PLC,79335808,MTD WALKERS PLC,MTD WALKERS PLC,MTD WALKERS PLC,LKA,146308571,HQ,SRI LANKA
184924329,MAGA ENGINEERING PVT LTD,113395628,MAGA ENGINEERING PRIVATE LTD,MAGA ENGINEERING PRIVATE LTD,MAGA ENGINEERING PRIVATE LTD,LKA,184924329,HQ,SRI LANKA
309117213,HOTEL DEVELOPERS LANKA PLC,204175742,HOTEL DEVELOPERS LANKA PLC,HOTEL DEVELOPERS LANKA PLC,HOTEL DEVELOPERS LANKA PLC,LKA,309117213,HQ,SRI LANKA
212196000,TRANSACTION NETWORK SERVICES-Sri Lanka,137490908,TRANSACTION NETWORK SERVICES-SRI LANKA,TNS INC,"KOCH INDUSTRIES, INC.",LKA,212196000,HQ,SRI LANKA
387201102,,263456867,CHINA MOBILE INTERNATIONAL,CHINA MOBILE COMMUNICATIONS CORPORATION,THE CENTRAL PEOPLE'S GOVERNMENT OF THE PEOPLE'S REPUBLIC OF CHINA,LKA,387201102,HQ,SRI LANKA
168052661,James Finaly & Company (Colombo) Limited,102397384,JAMES FINALY & COMPANY COLOMBO LTD,JAMES FINALY & COMPANY COLOMBO LTD,JAMES FINALY & COMPANY COLOMBO LTD,LKA,168052661,HQ,SRI LANKA
145661358,Hi Fashion Print (Pvt) Ltd,79048060,HI FASHION PRINT PVT LTD,HIRDARAMANI GROUP OF COMPANIES,HIRDARAMANI GROUP OF COMPANIES,LKA,145661358,HQ,SRI LANKA
195471307,Krish Transworks (Pvt) Ltd,123460794,KRISH TRANSWORKS PVT LTD,KRISH TRANSWORKS PVT LTD,KRISH TRANSWORKS PVT LTD,LKA,195471307,HQ,SRI LANKA
317308979,,210691051,VIRTELA TECHNOLOGY,VIRTELA TECHNOLOGY,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,LKA,317308979,BR,SRI LANKA
118232913,KHM Services,51084102,KHM SERVICES,KHM SERVICES,KHM SERVICES,LKA,118232913,HQ,SRI LANKA
41496501,Brown & Co Ltd,8746742,BROWN & COMPANY LTD,BROWN & COMPANY PLC,BROWN & COMPANY PLC,LKA,41496501,BR,SRI LANKA
228718290,Silvermill Holdings (Pvt) Ltd,153109434,SILVERMILL HOLDINGS PVT LTD,SILVERMILL HOLDINGS PVT LTD,SILVERMILL HOLDINGS PVT LTD,LKA,228718290,HQ,SRI LANKA
41496497,Nawaloka Hospitals,7675773,NAWALOKA HOSPITALS,NAWALOKA HOSPITAL,NAWALOKA HOSPITAL,LKA,41496497,BR,SRI LANKA
220505336,CingleVue International Corporation,147197436,CINGLEVUE INTERNATIONAL CORPORATION,CINGLEVUE INTERNATIONAL PTY LTD,CINGLEVUE INTERNATIONAL PTY LTD,LKA,220505336,HQ,SRI LANKA
316001139,OASIS HOSPITAL PRIVATE LTD,209423512,OASIS HOSPITAL PRIVATE LTD,OASIS HOSPITALS PVT LTD,OASIS HOSPITALS PVT LTD,LKA,316001139,BR,SRI LANKA
384240254,HILTON WEERAWALA,260781389,HILTON WEERAWALA,HILTON WEERAWALA,HILTON WEERAWALA,LKA,384240254,HQ,SRI LANKA
41495564,Galle Face Hotel,14666219,GALLE FACE HOTEL,GALLE FACE HOTEL,GALLE FACE HOTEL,LKA,41495564,HQ,SRI LANKA
173883548,,106496604,PACIFICCOM SOLUTIONSPVTLTD,PACIFICCOM SOLUTIONS LTD,PACIFICCOM SOLUTIONS LTD,LKA,173883548,BR,SRI LANKA
220051661,,146669248,SMATECHNOLOGIES,SMATECHNOLOGIES,SMATECHNOLOGIES,LKA,220051661,HQ,SRI LANKA
305597884,,202425207,DIMO LANKA LTD,DIMO LANKA LTD,DIMO LANKA LTD,LKA,305597884,BR,SRI LANKA
236299287,,159541107,INFINITY ENGINEERING SERVICES PVT LTD,INFINITY ENGINEERING SERVICES PVT LTD,INFINITY ENGINEERING SERVICES PVT LTD,LKA,236299287,HQ,SRI LANKA
10410267,Airport & Aviation Services (SriLanka) Ltd,5818610,AIRPORT AND AVIATION SERVICES SRI LANKA PRIVATE LTD,AIRPORT AND AVIATION SERVICES SRI LANKA PRIVATE LTD,AIRPORT AND AVIATION SERVICES SRI LANKA PRIVATE LTD,LKA,10410267,HQ,SRI LANKA
173377597,,106324527,PC HOUSE PLC,PC HOUSE PLC,PC HOUSE PLC,LKA,173377597,BR,SRI LANKA
121066678,,51929197,SEYLAN BANK,SEYLAN BANK PLC,SEYLAN BANK PLC,LKA,121066678,BR,SRI LANKA
245469008,,163137665,VC NET,VC NET,VC NET,LKA,245469008,HQ,SRI LANKA
278733636,,191109305,ZILLIONE TECHNOLOGIES PRIVATE LTD,ZILLIONE TECHNOLOGIES PRIVATE LTD,ZILLIONE TECHNOLOGIES PRIVATE LTD,LKA,278733636,BR,SRI LANKA
329619267,,221496095,INFOR SRILANKA,INFOR PVT LTD,INFOR FARNBOROUGH LTD,LKA,329619267,BR,SRI LANKA
308425788,,203473491,REDINGTON SL PRIVATE LTD,REDINGTON INDIA LTD,REDINGTON INDIA LTD,LKA,308425788,BR,SRI LANKA
328492281,LYNEAR Wealth Management Pvt Ltd,220443842,LYNEAR WEALTH MANAGEMENT PVT LTD,LYNEAR WEALTH MANAGEMENT PVT LTD,LYNEAR WEALTH MANAGEMENT PVT LTD,LKA,328492281,HQ,SRI LANKA
328296112,,220286126,TOPVIRTUAL,TOPVIRTUAL SRO,TOPVIRTUAL SRO,LKA,328296112,HQ,SRI LANKA
41497712,Coats Tootal Thread company,9903121,COATS TOOTAL THREAD COMPANY,COATS TOOTAL THREAD COMPANY,COATS TOOTAL THREAD COMPANY,LKA,41497712,HQ,SRI LANKA
41495008,CBE Group of Companies,5212270,CBE GROUP OF COMPANIES,"CBE COMPANIES, INC.","CBE COMPANIES, INC.",LKA,41495008,HQ,SRI LANKA
179944211,Firstsource Solutions,109904987,FIRSTSOURCE SOLUTIONS,FIRST SOURCE SOLUTIONS LTD,RPSG VENTURES LTD,LKA,179944211,HQ,SRI LANKA
215983594,Caltex Lubricants Lanka Limited,142082852,CALTEX LUBRICANTS LANKA LTD,CALTEX LUBRICANTS LANKA LTD,CALTEX LUBRICANTS LANKA LTD,LKA,215983594,HQ,SRI LANKA
161221866,,98793381,TECHNO ENGINEERING SOLUTIONS PVT LTD,TECHNO ENGINEERING SOLUTIONS PVT LTD,TECHNO ENGINEERING SOLUTIONS PVT LTD,LKA,161221866,HQ,SRI LANKA
121067092,SRI LANKA INSURANCE CORPORATION LTD,51929357,SRI LANKA INSURANCE,SRI LANKA INSURANCE CORPORATION LTD,SRI LANKA INSURANCE CORPORATION LTD,LKA,121067092,BR,SRI LANKA
121068194,MINISTRY OF FISHERIES AND AQUATIC RESOURCES,51929811,MINISTRY OF FISHERIES AND AQUATIC RESOURCES,MINISTRY OF FISHERIES AND AQUATIC RESOURCES,MINISTRY OF FISHERIES AND AQUATIC RESOURCES,LKA,121068194,HQ,SRI LANKA
322263300,,215472980,TELASIS SOLUTIONS PVT LTD,TELASIS SOLUTIONS PVT LTD,TELASIS SOLUTIONS PVT LTD,LKA,322263300,BR,SRI LANKA
35347778,Fentons Ltd,10250530,FENTONS LTD,FENTONS LIMITED,FENTONS LTD,LKA,35347778,HQ,SRI LANKA
34364852,,6967412,VOCATIONAL TRAINING AUTHORITY OF SL,VOCATIONAL TRAINING AUTHORITY OF SRI LANKA,VOCATIONAL TRAINING AUTHORITY OF SRI LANKA,LKA,34364852,BR,SRI LANKA
213043851,,138370546,CRYPTOGEN PRIVATE LTD,CRYPTOGEN PRIVATE LTD,CRYPTOGEN PRIVATE LTD,LKA,213043851,HQ,SRI LANKA
41495572,Ceylinco Leasing Corporation Ltd.,2360158,CEYLINCO LEASING CORPORATION LTD,CEYLINCO LEASING LTD,CEYLINCO CONSOLIDATED INTERNATIONAL PTE LTD,LKA,41495572,BR,SRI LANKA
41496032,Lanka Milk Foods (CWE) Limited,449872,LANKA MILK FOODS CWE LTD,LANKA MILK FOODS CWE LTD,LANKA MILK FOODS CWE LTD,LKA,41496032,HQ,SRI LANKA
11263739,CEYLON BISCUITS LIMITED,12938365,CEYLON BISCUITS LTD,CEYLON BISCUITS LTD,CEYLON BISCUITS LTD,LKA,11263739,HQ,SRI LANKA
345407237,,230510649,ANS-COM,ANS,ANS,LKA,345407237,HQ,SRI LANKA
41495966,Daya group,5192548,DAYA GROUP,DAYA GROUP,DAYA GROUP,LKA,41495966,HQ,SRI LANKA
155115857,,95932667,MMBL CYBERSKILLS PLC,MMBL CYBERSKILLS PLC,MMBL CYBERSKILLS PLC,LKA,155115857,HQ,SRI LANKA
181133116,,110550488,WINSOFT TECHNOLGIES PVT LTD,WINSOFT TECHNOLOGIES INDIA PRIVATE LTD,WINSOFT TECHNOLOGIES INDIA PRIVATE LTD,LKA,181133116,BR,SRI LANKA
265172527,,177072137,JUST IN TIME TECHNOLOGIES PVT LTD,JUST IN TIME PRIVATE LTD,JUST IN TIME PRIVATE LTD,LKA,265172527,BR,SRI LANKA
274509172,MULLENLOWE,186850825,MULLENLOWE,MULLENLOWE,MULLENLOWE,LKA,274509172,HQ,SRI LANKA
318305953,SOS CHILDREN'S VILLAGE,211651186,SOS CHILDREN'S VILLAGE,SOS CHILDRENS VILLAGES OF SRILANKA,SOS CHILDRENS VILLAGES OF SRILANKA,LKA,318305953,BR,SRI LANKA
344973027,,230127415,MY BUDGET HOLDINGS PVT LTD,MY BUDGET HOLDINGS PVT LTD,REEF HOLDINGS LTD,LKA,344973027,BR,SRI LANKA
41495988,Orange Electrics,3598659,ORANGE ELECTRICS,ORANGE ELECTRICS,ORANGE ELECTRICS,LKA,41495988,HQ,SRI LANKA
11290642,RICHARD PEIRIS & COMPANY LIMITED,9020176,RICHARD PEIRIS & COMPANY PLC,RICHARD PEIRIS & COMPANY PLC,RICHARD PEIRIS & COMPANY PLC,LKA,11290642,HQ,SRI LANKA
114087253,SKM Lanka Holdings (Pvt) Limited,49436792,SKM LANKA HOLDINGS PVT LTD,SKM LANKA HOLDINGS PVT LTD,SKM LANKA HOLDINGS PVT LTD,LKA,114087253,HQ,SRI LANKA
2967349,MILLENNIUM INFORMATION TECHNOLOGIES LTD,5811511,MILLENNIUMIT SOFTWARE,LONDON STOCK EXCHANGE GROUP PLC,LONDON STOCK EXCHANGE GROUP PLC,LKA,2967349,HQ,SRI LANKA
45309707,,12969490,MINISTRY OF DISASTER MANAGEMENT AND HUMAN RIGHTS,MINISTRY OF DISASTER MANAGEMENT AND HUMAN RIGHTS,MINISTRY OF DISASTER MANAGEMENT AND HUMAN RIGHTS,LKA,45309707,HQ,SRI LANKA
305442308,,202325358,NETSYS SOLUTIONS,NETSYS SOLUTIONS PRIVATE LIMITED,NETSYS SOLUTIONS PRIVATE LIMITED,LKA,305442308,BR,SRI LANKA
199419312,ROCHE PRODUCTS PVT LTD,127688828,ROCHE PRODUCTS PVT LTD,ROCHE PRODUCTS IRELAND LTD,ROCHE HOLDING AG,LKA,199419312,BR,SRI LANKA
329817275,,221610618,HAAT HOLDINGS,HAAT HOLDINGS,HAAT HOLDINGS,LKA,329817275,BR,SRI LANKA
41333909,,831490,EMPLOYEES PROVIDENT FUND,EMPLOYEES PROVIDENT FUND,EMPLOYEES PROVIDENT FUND,LKA,41333909,BR,SRI LANKA
41496364,Sumathi Group,1398894,SUMATHI GROUP,SUMATHI INFORMATION TECHNOLOGIES,SUMATHI INFORMATION TECHNOLOGIES,LKA,41496364,BR,SRI LANKA
